code,region,name,exchange,type
600000,SH,浦发银行,SSE,stock
600004,SH,白云机场,SSE,stock
600006,SH,东风股份,SSE,stock
600007,SH,中国国贸,SSE,stock
600008,SH,首创环保,SSE,stock
600009,SH,上海机场,SSE,stock
600010,SH,包钢股份,SSE,stock
600011,SH,华能国际,SSE,stock
600012,SH,皖通高速,SSE,stock
600015,SH,华夏银行,SSE,stock
600016,SH,民生银行,SSE,stock
600017,SH,日照港,SSE,stock
600018,SH,上港集团,SSE,stock
600019,SH,宝钢股份,SSE,stock
600020,SH,中原高速,SSE,stock
600021,SH,上海电力,SSE,stock
600022,SH,山东钢铁,SSE,stock
600023,SH,浙能电力,SSE,stock
600025,SH,华能水电,SSE,stock
600026,SH,中远海能,SSE,stock
600027,SH,华电国际,SSE,stock
600028,SH,中国石化,SSE,stock
600029,SH,南方航空,SSE,stock
600030,SH,中信证券,SSE,stock
600031,SH,三一重工,SSE,stock
600032,SH,浙江新能,SSE,stock
600033,SH,福建高速,SSE,stock
600035,SH,楚天高速,SSE,stock
600036,SH,招商银行,SSE,stock
600037,SH,歌华有线,SSE,stock
600038,SH,中直股份,SSE,stock
600039,SH,四川路桥,SSE,stock
600048,SH,保利发展,SSE,stock
600050,SH,中国联通,SSE,stock
600051,SH,宁波联合,SSE,stock
600052,SH,东望时代,SSE,stock
600053,SH,九鼎投资,SSE,stock
600054,SH,黄山旅游,SSE,stock
600055,SH,万东医疗,SSE,stock
600056,SH,中国医药,SSE,stock
600057,SH,厦门象屿,SSE,stock
600058,SH,五矿发展,SSE,stock
600059,SH,古越龙山,SSE,stock
600060,SH,海信视像,SSE,stock
600061,SH,国投资本,SSE,stock
600062,SH,华润双鹤,SSE,stock
600063,SH,皖维高新,SSE,stock
600064,SH,南京高科,SSE,stock
600066,SH,宇通客车,SSE,stock
600067,SH,冠城新材,SSE,stock
600071,SH,凤凰光学,SSE,stock
600072,SH,中船科技,SSE,stock
600073,SH,光明肉业,SSE,stock
600075,SH,新疆天业,SSE,stock
600076,SH,康欣新材,SSE,stock
600078,SH,澄星股份,SSE,stock
600079,SH,ST人福,SSE,stock
600080,SH,金花股份,SSE,stock
600081,SH,东风科技,SSE,stock
600082,SH,海泰发展,SSE,stock
600084,SH,中信尼雅,SSE,stock
600085,SH,同仁堂,SSE,stock
600088,SH,中视传媒,SSE,stock
600089,SH,特变电工,SSE,stock
600094,SH,大名城,SSE,stock
600095,SH,湘财股份,SSE,stock
600096,SH,云天化,SSE,stock
600097,SH,开创国际,SSE,stock
600098,SH,广州发展,SSE,stock
600099,SH,林海股份,SSE,stock
600100,SH,同方股份,SSE,stock
600101,SH,明星电力,SSE,stock
600103,SH,青山纸业,SSE,stock
600104,SH,上汽集团,SSE,stock
600105,SH,永鼎股份,SSE,stock
600106,SH,重庆路桥,SSE,stock
600107,SH,ST尔雅,SSE,stock
600108,SH,亚盛集团,SSE,stock
600109,SH,国金证券,SSE,stock
600110,SH,诺德股份,SSE,stock
600111,SH,北方稀土,SSE,stock
600113,SH,浙江东日,SSE,stock
600114,SH,东睦股份,SSE,stock
600115,SH,中国东航,SSE,stock
600116,SH,三峡水利,SSE,stock
600117,SH,西宁特钢,SSE,stock
600118,SH,中国卫星,SSE,stock
600119,SH,长江投资,SSE,stock
600120,SH,浙江东方,SSE,stock
600121,SH,郑州煤电,SSE,stock
600123,SH,兰花科创,SSE,stock
600125,SH,铁龙物流,SSE,stock
600126,SH,杭钢股份,SSE,stock
600127,SH,金健米业,SSE,stock
600128,SH,苏豪弘业,SSE,stock
600129,SH,太极集团,SSE,stock
600130,SH,*ST波导,SSE,stock
600131,SH,国网信通,SSE,stock
600132,SH,重庆啤酒,SSE,stock
600133,SH,东湖高新,SSE,stock
600135,SH,乐凯胶片,SSE,stock
600136,SH,ST明诚,SSE,stock
600137,SH,浪莎股份,SSE,stock
600138,SH,中青旅,SSE,stock
600141,SH,兴发集团,SSE,stock
600143,SH,金发科技,SSE,stock
600148,SH,长春一东,SSE,stock
600149,SH,廊坊发展,SSE,stock
600150,SH,中国船舶,SSE,stock
600151,SH,航天机电,SSE,stock
600152,SH,维科技术,SSE,stock
600153,SH,建发股份,SSE,stock
600155,SH,华创云信,SSE,stock
600156,SH,华升股份,SSE,stock
600157,SH,永泰能源,SSE,stock
600158,SH,中体产业,SSE,stock
600159,SH,大龙地产,SSE,stock
600160,SH,巨化股份,SSE,stock
600161,SH,天坛生物,SSE,stock
600162,SH,香江控股,SSE,stock
600163,SH,中闽能源,SSE,stock
600165,SH,ST宁科,SSE,stock
600166,SH,福田汽车,SSE,stock
600167,SH,联美控股,SSE,stock
600168,SH,武汉控股,SSE,stock
600169,SH,ST太重,SSE,stock
600170,SH,上海建工,SSE,stock
600171,SH,上海贝岭,SSE,stock
600172,SH,黄河旋风,SSE,stock
600173,SH,卧龙新能,SSE,stock
600176,SH,中国巨石,SSE,stock
600177,SH,雅戈尔,SSE,stock
600178,SH,东安动力,SSE,stock
600179,SH,安通控股,SSE,stock
600180,SH,瑞茂通,SSE,stock
600182,SH,S佳通,SSE,stock
600183,SH,生益科技,SSE,stock
600184,SH,光电股份,SSE,stock
600185,SH,珠免集团,SSE,stock
600186,SH,莲花控股,SSE,stock
600187,SH,国中水务,SSE,stock
600188,SH,兖矿能源,SSE,stock
600189,SH,泉阳泉,SSE,stock
600191,SH,华资实业,SSE,stock
600192,SH,长城电工,SSE,stock
600193,SH,*ST创兴,SSE,stock
600195,SH,中牧股份,SSE,stock
600196,SH,复星医药,SSE,stock
600197,SH,伊力特,SSE,stock
600198,SH,大唐电信,SSE,stock
600199,SH,金种子酒,SSE,stock
600201,SH,生物股份,SSE,stock
600202,SH,哈空调,SSE,stock
600203,SH,福日电子,SSE,stock
600206,SH,有研新材,SSE,stock
600207,SH,安彩高科,SSE,stock
600208,SH,衢州发展,SSE,stock
600210,SH,紫江企业,SSE,stock
600211,SH,西藏药业,SSE,stock
600212,SH,绿能慧充,SSE,stock
600215,SH,派斯林,SSE,stock
600216,SH,浙江医药,SSE,stock
600217,SH,中再资环,SSE,stock
600218,SH,全柴动力,SSE,stock
600219,SH,南山铝业,SSE,stock
600221,SH,海航控股,SSE,stock
600222,SH,太龙药业,SSE,stock
600223,SH,福瑞达,SSE,stock
600226,SH,亨通股份,SSE,stock
600227,SH,赤天化,SSE,stock
600228,SH,*ST返利,SSE,stock
600229,SH,城市传媒,SSE,stock
600230,SH,沧州大化,SSE,stock
600231,SH,凌钢股份,SSE,stock
600232,SH,金鹰股份,SSE,stock
600233,SH,圆通速递,SSE,stock
600234,SH,科新发展,SSE,stock
600235,SH,民丰特纸,SSE,stock
600236,SH,桂冠电力,SSE,stock
600237,SH,铜峰电子,SSE,stock
600238,SH,*ST椰岛,SSE,stock
600239,SH,云南城投,SSE,stock
600241,SH,时代万恒,SSE,stock
600243,SH,*ST海华,SSE,stock
600246,SH,万通发展,SSE,stock
600248,SH,陕建股份,SSE,stock
600249,SH,两面针,SSE,stock
600250,SH,南京商旅,SSE,stock
600251,SH,冠农股份,SSE,stock
600252,SH,中恒集团,SSE,stock
600255,SH,鑫科材料,SSE,stock
600256,SH,广汇能源,SSE,stock
600257,SH,大湖股份,SSE,stock
600258,SH,首旅酒店,SSE,stock
600259,SH,中稀有色,SSE,stock
600261,SH,阳光照明,SSE,stock
600262,SH,北方股份,SSE,stock
600265,SH,ST景谷,SSE,stock
600266,SH,城建发展,SSE,stock
600267,SH,海正药业,SSE,stock
600268,SH,国电南自,SSE,stock
600269,SH,赣粤高速,SSE,stock
600271,SH,航天信息,SSE,stock
600272,SH,开开实业,SSE,stock
600273,SH,嘉化能源,SSE,stock
600276,SH,恒瑞医药,SSE,stock
600278,SH,东方创业,SSE,stock
600279,SH,重庆港,SSE,stock
600280,SH,中央商场,SSE,stock
600281,SH,华阳新材,SSE,stock
600282,SH,南钢股份,SSE,stock
600283,SH,钱江水利,SSE,stock
600284,SH,浦东建设,SSE,stock
600285,SH,羚锐制药,SSE,stock
600287,SH,苏豪时尚,SSE,stock
600288,SH,大恒科技,SSE,stock
600289,SH,ST信通,SSE,stock
600292,SH,电投水电,SSE,stock
600293,SH,三峡新材,SSE,stock
600295,SH,鄂尔多斯,SSE,stock
600298,SH,安琪酵母,SSE,stock
600299,SH,XD安迪苏,SSE,stock
600300,SH,维维股份,SSE,stock
600301,SH,华锡有色,SSE,stock
600302,SH,标准股份,SSE,stock
600303,SH,曙光股份,SSE,stock
600305,SH,恒顺醋业,SSE,stock
600307,SH,酒钢宏兴,SSE,stock
600308,SH,华泰股份,SSE,stock
600309,SH,万华化学,SSE,stock
600310,SH,广西能源,SSE,stock
600312,SH,平高电气,SSE,stock
600313,SH,农发种业,SSE,stock
600315,SH,上海家化,SSE,stock
600316,SH,洪都航空,SSE,stock
600318,SH,新力金融,SSE,stock
600319,SH,亚星化学,SSE,stock
600320,SH,振华重工,SSE,stock
600322,SH,津投城开,SSE,stock
600323,SH,瀚蓝环境,SSE,stock
600325,SH,华发股份,SSE,stock
600326,SH,西藏天路,SSE,stock
600327,SH,大东方,SSE,stock
600328,SH,中盐化工,SSE,stock
600329,SH,达仁堂,SSE,stock
600330,SH,天通股份,SSE,stock
600331,SH,宏达股份,SSE,stock
600332,SH,白云山,SSE,stock
600333,SH,长春燃气,SSE,stock
600335,SH,国机汽车,SSE,stock
600336,SH,澳柯玛,SSE,stock
600337,SH,美克家居,SSE,stock
600338,SH,西藏珠峰,SSE,stock
600339,SH,中油工程,SSE,stock
600340,SH,华夏幸福,SSE,stock
600343,SH,航天动力,SSE,stock
600345,SH,长江通信,SSE,stock
600346,SH,恒力石化,SSE,stock
600348,SH,华阳股份,SSE,stock
600350,SH,山东高速,SSE,stock
600351,SH,亚宝药业,SSE,stock
600352,SH,浙江龙盛,SSE,stock
600353,SH,旭光电子,SSE,stock
600354,SH,敦煌种业,SSE,stock
600355,SH,*ST精伦,SSE,stock
600356,SH,恒丰纸业,SSE,stock
600358,SH,ST联合,SSE,stock
600359,SH,新农开发,SSE,stock
600360,SH,*ST华微,SSE,stock
600361,SH,创新新材,SSE,stock
600362,SH,江西铜业,SSE,stock
600363,SH,联创光电,SSE,stock
600365,SH,ST通葡,SSE,stock
600366,SH,宁波韵升,SSE,stock
600367,SH,红星发展,SSE,stock
600368,SH,五洲交通,SSE,stock
600369,SH,西南证券,SSE,stock
600370,SH,三房巷,SSE,stock
600371,SH,万向德农,SSE,stock
600372,SH,中航机载,SSE,stock
600373,SH,中文传媒,SSE,stock
600375,SH,汉马科技,SSE,stock
600376,SH,首开股份,SSE,stock
600377,SH,宁沪高速,SSE,stock
600378,SH,昊华科技,SSE,stock
600379,SH,宝光股份,SSE,stock
600380,SH,健康元,SSE,stock
600381,SH,*ST春天,SSE,stock
600382,SH,广东明珠,SSE,stock
600383,SH,金地集团,SSE,stock
600386,SH,北巴传媒,SSE,stock
600388,SH,龙净环保,SSE,stock
600389,SH,江山股份,SSE,stock
600390,SH,五矿资本,SSE,stock
600391,SH,航发科技,SSE,stock
600392,SH,盛和资源,SSE,stock
600395,SH,盘江股份,SSE,stock
600396,SH,华电辽能,SSE,stock
600397,SH,江钨装备,SSE,stock
600398,SH,海澜之家,SSE,stock
600399,SH,抚顺特钢,SSE,stock
600400,SH,红豆股份,SSE,stock
600403,SH,大有能源,SSE,stock
600405,SH,动力源,SSE,stock
600406,SH,国电南瑞,SSE,stock
600408,SH,安泰集团,SSE,stock
600409,SH,三友化工,SSE,stock
600410,SH,华胜天成,SSE,stock
600415,SH,小商品城,SSE,stock
600416,SH,湘电股份,SSE,stock
600418,SH,江淮汽车,SSE,stock
600419,SH,天润乳业,SSE,stock
600420,SH,国药现代,SSE,stock
600421,SH,*ST华嵘,SSE,stock
600422,SH,昆药集团,SSE,stock
600423,SH,柳化股份,SSE,stock
600425,SH,青松建化,SSE,stock
600426,SH,华鲁恒升,SSE,stock
600428,SH,中远海特,SSE,stock
600429,SH,三元股份,SSE,stock
600433,SH,冠豪高新,SSE,stock
600435,SH,北方导航,SSE,stock
600436,SH,片仔癀,SSE,stock
600438,SH,通威股份,SSE,stock
600439,SH,瑞贝卡,SSE,stock
600444,SH,国机通用,SSE,stock
600446,SH,金证股份,SSE,stock
600448,SH,华纺股份,SSE,stock
600449,SH,宁夏建材,SSE,stock
600452,SH,涪陵电力,SSE,stock
600455,SH,博通股份,SSE,stock
600456,SH,宝钛股份,SSE,stock
600458,SH,时代新材,SSE,stock
600459,SH,贵研铂业,SSE,stock
600460,SH,士兰微,SSE,stock
600461,SH,洪城环境,SSE,stock
600463,SH,空港股份,SSE,stock
600467,SH,好当家,SSE,stock
600468,SH,百利电气,SSE,stock
600469,SH,风神股份,SSE,stock
600470,SH,六国化工,SSE,stock
600475,SH,华光环能,SSE,stock
600476,SH,湘邮科技,SSE,stock
600477,SH,杭萧钢构,SSE,stock
600478,SH,科力远,SSE,stock
600479,SH,千金药业,SSE,stock
600480,SH,凌云股份,SSE,stock
600481,SH,双良节能,SSE,stock
600482,SH,中国动力,SSE,stock
600483,SH,福能股份,SSE,stock
600486,SH,扬农化工,SSE,stock
600487,SH,亨通光电,SSE,stock
600488,SH,津药药业,SSE,stock
600489,SH,中金黄金,SSE,stock
600490,SH,鹏欣资源,SSE,stock
600491,SH,龙元建设,SSE,stock
600493,SH,凤竹纺织,SSE,stock
600495,SH,晋西车轴,SSE,stock
600496,SH,精工钢构,SSE,stock
600497,SH,驰宏锌锗,SSE,stock
600498,SH,烽火通信,SSE,stock
600499,SH,科达制造,SSE,stock
600500,SH,中化国际,SSE,stock
600501,SH,航天晨光,SSE,stock
600502,SH,安徽建工,SSE,stock
600503,SH,华丽家族,SSE,stock
600505,SH,西昌电力,SSE,stock
600506,SH,统一股份,SSE,stock
600507,SH,方大特钢,SSE,stock
600508,SH,上海能源,SSE,stock
600509,SH,天富能源,SSE,stock
600510,SH,黑牡丹,SSE,stock
600511,SH,国药股份,SSE,stock
600512,SH,腾达建设,SSE,stock
600513,SH,联环药业,SSE,stock
600515,SH,海南机场,SSE,stock
600516,SH,方大炭素,SSE,stock
600517,SH,国网英大,SSE,stock
600518,SH,康美药业,SSE,stock
600519,SH,贵州茅台,SSE,stock
600520,SH,三佳科技,SSE,stock
600521,SH,华海药业,SSE,stock
600522,SH,中天科技,SSE,stock
600523,SH,贵航股份,SSE,stock
600525,SH,ST长园,SSE,stock
600526,SH,菲达环保,SSE,stock
600527,SH,江南高纤,SSE,stock
600528,SH,中铁工业,SSE,stock
600529,SH,山东药玻,SSE,stock
600530,SH,交大昂立,SSE,stock
600531,SH,豫光金铅,SSE,stock
600533,SH,栖霞建设,SSE,stock
600535,SH,天士力,SSE,stock
600536,SH,中国软件,SSE,stock
600537,SH,亿晶光电,SSE,stock
600538,SH,国发股份,SSE,stock
600539,SH,狮头股份,SSE,stock
600540,SH,新赛股份,SSE,stock
600543,SH,莫高股份,SSE,stock
600545,SH,卓郎智能,SSE,stock
600546,SH,山煤国际,SSE,stock
600547,SH,山东黄金,SSE,stock
600548,SH,深高速,SSE,stock
600549,SH,厦门钨业,SSE,stock
600550,SH,保变电气,SSE,stock
600551,SH,时代出版,SSE,stock
600552,SH,凯盛科技,SSE,stock
600556,SH,天下秀,SSE,stock
600557,SH,康缘药业,SSE,stock
600558,SH,大西洋,SSE,stock
600559,SH,老白干酒,SSE,stock
600560,SH,金自天正,SSE,stock
600561,SH,江西长运,SSE,stock
600562,SH,国睿科技,SSE,stock
600563,SH,法拉电子,SSE,stock
600566,SH,济川药业,SSE,stock
600567,SH,山鹰国际,SSE,stock
600568,SH,ST中珠,SSE,stock
600569,SH,安阳钢铁,SSE,stock
600570,SH,恒生电子,SSE,stock
600571,SH,信雅达,SSE,stock
600572,SH,康恩贝,SSE,stock
600573,SH,惠泉啤酒,SSE,stock
600575,SH,淮河能源,SSE,stock
600576,SH,祥源文旅,SSE,stock
600577,SH,精达股份,SSE,stock
600578,SH,京能电力,SSE,stock
600579,SH,中化装备,SSE,stock
600580,SH,卧龙电驱,SSE,stock
600581,SH,八一钢铁,SSE,stock
600582,SH,天地科技,SSE,stock
600583,SH,海油工程,SSE,stock
600584,SH,长电科技,SSE,stock
600585,SH,海螺水泥,SSE,stock
600586,SH,金晶科技,SSE,stock
600587,SH,新华医疗,SSE,stock
600588,SH,用友网络,SSE,stock
600589,SH,大位科技,SSE,stock
600590,SH,泰豪科技,SSE,stock
600592,SH,龙溪股份,SSE,stock
600593,SH,大连圣亚,SSE,stock
600594,SH,益佰制药,SSE,stock
600595,SH,中孚实业,SSE,stock
600596,SH,新安股份,SSE,stock
600597,SH,光明乳业,SSE,stock
600598,SH,北大荒,SSE,stock
600599,SH,*ST熊猫,SSE,stock
600600,SH,青岛啤酒,SSE,stock
600601,SH,方正科技,SSE,stock
600602,SH,云赛智联,SSE,stock
600603,SH,广汇物流,SSE,stock
600604,SH,市北高新,SSE,stock
600605,SH,汇通能源,SSE,stock
600606,SH,绿地控股,SSE,stock
600608,SH,*ST沪科,SSE,stock
600609,SH,金杯汽车,SSE,stock
600610,SH,中毅达,SSE,stock
600611,SH,大众交通,SSE,stock
600612,SH,老凤祥,SSE,stock
600613,SH,神奇制药,SSE,stock
600615,SH,鑫源智造,SSE,stock
600616,SH,金枫酒业,SSE,stock
600617,SH,国新能源,SSE,stock
600618,SH,氯碱化工,SSE,stock
600619,SH,海立股份,SSE,stock
600620,SH,天宸股份,SSE,stock
600621,SH,华鑫股份,SSE,stock
600622,SH,光大嘉宝,SSE,stock
600623,SH,华谊集团,SSE,stock
600624,SH,ST复华,SSE,stock
600626,SH,申达股份,SSE,stock
600628,SH,新世界,SSE,stock
600629,SH,华建集团,SSE,stock
600630,SH,龙头股份,SSE,stock
600633,SH,浙数文化,SSE,stock
600635,SH,大众公用,SSE,stock
600636,SH,*ST国化,SSE,stock
600637,SH,东方明珠,SSE,stock
600638,SH,新黄浦,SSE,stock
600639,SH,浦东金桥,SSE,stock
600640,SH,国脉文化,SSE,stock
600641,SH,先导基电,SSE,stock
600642,SH,申能股份,SSE,stock
600643,SH,爱建集团,SSE,stock
600644,SH,乐山电力,SSE,stock
600645,SH,中源协和,SSE,stock
600648,SH,外高桥,SSE,stock
600649,SH,城投控股,SSE,stock
600650,SH,锦江在线,SSE,stock
600651,SH,飞乐音响,SSE,stock
600653,SH,申华控股,SSE,stock
600654,SH,中安科,SSE,stock
600655,SH,豫园股份,SSE,stock
600657,SH,信达地产,SSE,stock
600658,SH,电子城,SSE,stock
600660,SH,福耀玻璃,SSE,stock
600661,SH,昂立教育,SSE,stock
600662,SH,外服控股,SSE,stock
600663,SH,陆家嘴,SSE,stock
600664,SH,哈药股份,SSE,stock
600665,SH,天地源,SSE,stock
600666,SH,奥瑞德,SSE,stock
600667,SH,太极实业,SSE,stock
600668,SH,尖峰集团,SSE,stock
600671,SH,天目药业,SSE,stock
600673,SH,东阳光,SSE,stock
600674,SH,川投能源,SSE,stock
600675,SH,中华企业,SSE,stock
600676,SH,交运股份,SSE,stock
600678,SH,四川金顶,SSE,stock
600679,SH,上海凤凰,SSE,stock
600681,SH,百川能源,SSE,stock
600682,SH,南京新百,SSE,stock
600683,SH,京投发展,SSE,stock
600684,SH,珠江股份,SSE,stock
600685,SH,中船防务,SSE,stock
600686,SH,金龙汽车,SSE,stock
600688,SH,上海石化,SSE,stock
600689,SH,上海三毛,SSE,stock
600690,SH,海尔智家,SSE,stock
600691,SH,潞化科技,SSE,stock
600692,SH,亚通股份,SSE,stock
600693,SH,东百集团,SSE,stock
600694,SH,大商股份,SSE,stock
600696,SH,*ST岩石,SSE,stock
600697,SH,欧亚集团,SSE,stock
600698,SH,湖南天雁,SSE,stock
600699,SH,均胜电子,SSE,stock
600702,SH,舍得酒业,SSE,stock
600703,SH,三安光电,SSE,stock
600704,SH,物产中大,SSE,stock
600706,SH,曲江文旅,SSE,stock
600707,SH,彩虹股份,SSE,stock
600708,SH,光明地产,SSE,stock
600710,SH,苏美达,SSE,stock
600711,SH,盛屯矿业,SSE,stock
600712,SH,南宁百货,SSE,stock
600713,SH,南京医药,SSE,stock
600714,SH,金瑞矿业,SSE,stock
600715,SH,文投控股,SSE,stock
600716,SH,凤凰股份,SSE,stock
600717,SH,天津港,SSE,stock
600718,SH,东软集团,SSE,stock
600719,SH,大连热电,SSE,stock
600720,SH,中交设计,SSE,stock
600721,SH,百花医药,SSE,stock
600722,SH,金牛化工,SSE,stock
600724,SH,宁波富达,SSE,stock
600725,SH,云维股份,SSE,stock
600726,SH,华电能源,SSE,stock
600727,SH,鲁北化工,SSE,stock
600728,SH,佳都科技,SSE,stock
600729,SH,重庆百货,SSE,stock
600730,SH,中国高科,SSE,stock
600731,SH,湖南海利,SSE,stock
600732,SH,爱旭股份,SSE,stock
600733,SH,北汽蓝谷,SSE,stock
600734,SH,实达集团,SSE,stock
600735,SH,ST新华锦,SSE,stock
600736,SH,苏州高新,SSE,stock
600737,SH,中粮糖业,SSE,stock
600738,SH,丽尚国潮,SSE,stock
600739,SH,辽宁成大,SSE,stock
600740,SH,山西焦化,SSE,stock
600741,SH,华域汽车,SSE,stock
600742,SH,富维股份,SSE,stock
